Filename,Cluster
013bf04a737d3a7d3cc135b8777ba40af2815cbd,0
013e269bc7b7a6664dd3920d1c537c972171651d,7
0141082367bb5226a0b44b90557489d6aec980cb,14
0142d42886c7cbf57040ab4cbbc601ca002bba48,12
0143cb8b8088a7368fd9ae88d052d8976abd86cf,12
01491bc5d090e59d419868eda242ad415a0a9d2d,5
0150c87d249edf1cf881553dafcc1709c0141e3b,8
015373d7928cb34fb129663afd4e157295cdfe73,0
01565adc2297f5db48012cf0da6f3f1b5d299dbd,10
015b4d3e0063d32aa6fd6c1d21673f6875ef2df2,8
0163128265404cb2a880aed32cf14d1aa0b7ed80,3
016571ff5970224b5bde509279d64ddc3f65fc71,13
0165eb25f21d94789be0260f571771a9008bb425,7
016b999c3c3f27bb6a16484a689ae9e72fb64616,7
016d6815f0d2a32d32b88e8edb16a6004d28a129,1
017589b7e78d7747343760f94f3f3fb965912a46,8
0175b397221d752c55dbd371730fee74a6bd4051,1
01772c9bbd744250b46b0eaadad7198f56fdd20e,9
01788af806d52cdb15d22667221c08e262a51c23,9
01794e4c9ebabb66ca85f1340fad36875b960b9c,1
017b140dcf0c519d84680c2c596504ca19cafb1f,5
017b4ee0d720773d4198f7c76f167da16ef92687,7
017c85300339919eb6650a6650f45c77a9cdb3e8,14
017d3946f7443edb46c89c23cdfa675889321a29,8
0184260ee6382fe04f1447377d43a1e93136792d,8
01870febd70722a559d3355bee45742250c61d55,11
018e236ac4ef32ba729d8babfa93b09eb61dc107,14
018e591cf8de229f5e4c7447e288367dc5fbcf2a,0
0190a82e1c3b549f5f17e9cfd055328d22ebc5bb,14
0196ad02a413907a8a3b9411d60771c0fd12320e,9
019838830f0b7ad75725606314ea6bf51572170e,14
01997b073765a6b7fc979b4dcff2ecffb16c9220,12
019b3db363263fcfef9c69703b59e4493da891fa,9
019cf8c66dde1b2c571ad67f4f497a93d6d84083,13
019da1c8f57a080df58e9f7a6b20019ac71b99cc,10
01a42cf47376eb7b6f69ae5426c5e205e4a78821,1
01a7d7091079a506db48beb030733f52f3c9e949,9
01ab284a5625c9efb70cf69b2d5330a4a617ca14,0
01ac6a963092f35f5d443bfa00091774811e44fd,4
01ad9a18e7d24d3e621ff6dbeba18f992e133a4e,9
01b2ad7515d8f6102ace0a7713c5ccc6ef3021d3,8
01b8d121c18b8a64925d67ef8346d3ad1ba45f67,0
