Filename,Cluster
658071840732db376170d12cea83864b0b4ae756,1
6581871923e50ed9d54216832fc1e0daf4bf2fd8,5
6583677308679ae6c31ae52762601c128e03d593,9
658660273139f263ef634d3cd49483894ac04296,11
65906632638bf7e2295b44a680e9af96aea123b8,1
661102278052cc9e8087f49ab6a048d29c63eac5,2
661521238215fc22e643428da559a8ffa3ba734a,3
6616041566a616ede2848383bc60b0a598068a9a,1
6722569382cca2fa042a8ec982c873661e312a3a,2
6723063429333f2dd1ea634253cc9f8942506de9,5
6740311150d4922a417e83622c10aac7f45b9f60,6
67464461026182b8c9bd66766fe913b191be6ae4,14
6797018961d3a326f24c5ee7846e52531f4894d5,3
683344017777fc97aacf1f09780cab26c35fca16,9
6834044856f43d4469b1b30aa22a765b9cb7e1d3,11
6849582853584a89eaff9490109ef9a9f0b8a0af,1
68504970305fd23e544f1a8b41930849bbaca2ac,5
685214889062431f5c7ab04ef9c8d24e576d56c6,10
68857263051a8b8f3c4f76d7fe773b39234801a1,10
6895537120ee5207b0aeea2f49db053a8d3f230d,13
69401662037a1f1402a4eedd1c1c79f6d07d72bf,3
69455752506fddb2a44242f5d1411c1982f26758,13
6950376091b1d6151cf75239f819fa8143915c34,9
6956402433c3812b9556944fcc41baa64ca7c402,4
6961015973f336b2bd1cd0fabd6b3e178c3bd2bc,0
6969577367d584150783ed81754d27087b9a03fd,14
699965097d2938d574eb9bcccb68aa8bcaccb69f,2
7001747040b794dbcb381ff561ab9c168dd55e8d,0
7009529638d2b05b8e6ed924c64ba6156bbfe533,6
702760526c166c2be62f1b31c8747addf287178c,7
704931677040711337ae9e563666eeeb98457cbd,5
706617242a8cef8839885d955dcc4d4988622055,14
706999995f89639e777445b3004e3e3aa95e5de5,3
711995610364414f6772d52ab9ca7b2ea2f9c352,1
7120189387ae9c347a953d9b830858db5954c923,14
713554071cbe66346fa6f9a358df9f1e8462dccd,4
714580272dc4ee10c2802a72c049571e6f38981d,3
7238209728c20f24d973ecdf431786d5da083776,10
723822612b633d6dd4da95f9dea4de86dc91e874,14
726116274c6200fdd3921ad66e04e219d0ea322c,2
72888677035877feb1904c45bf4b32bb22dc0008,14
729091449cd16e297808d6f163ebef12b73ce36a,1
72964041384b447b80e7fde117382f32788d79e7,1
732106702d6914ee4e022bdd7adf415255d28dbd,6
733378105a21348aaa8bee9a2ed69277ff7afcb4,2
734339966dd7c1d9b0a564b8278946e42b8dadd1,0
7363329339052f5db23b340ca34d5bbc4d830a29,6
737364540f55f71d82ebfa30d555ea943fd115a9,9
737696888d0b2ac8ad6d0eefb0d3009c2b1c1807,3
737821462010e735e256f577a31955aee512dfde,11
7398292629cc5198a59b8eec471a074e2cf5f956,6
